"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 26 16:12:44 GMT 2024","Mon Feb 26 16:12:46 GMT 2024","1717","Employee","Bulk Employee Upload","","","","Bulk Employee Upload",""
"passed","Mon Feb 26 16:12:41 GMT 2024","Mon Feb 26 16:12:42 GMT 2024","1159","Employee","Activate Employee","","","","Activate Or Deactivate Employee",""
"failed","Mon Feb 26 16:12:32 GMT 2024","Mon Feb 26 16:12:33 GMT 2024","1203","Employee","Add Employee","","","","Add Employee with invalid bank_id",""
"passed","Mon Feb 26 16:12:43 GMT 2024","Mon Feb 26 16:12:44 GMT 2024","1161","Employee","Delete Employee","","","","Delete Employee",""
"failed","Mon Feb 26 16:13:02 GMT 2024","Mon Feb 26 16:13:03 GMT 2024","1188","Account","","","","","Get Account Name By Account Number",""
"failed","Mon Feb 26 16:13:27 GMT 2024","Mon Feb 26 16:13:28 GMT 2024","1014","Team member","Invite Team Member","","","","Invite Team Member with empty role_id and email",""
"failed","Mon Feb 26 16:13:08 GMT 2024","Mon Feb 26 16:13:09 GMT 2024","1040","Role","Create Role","","","","Create Role",""
"failed","Mon Feb 26 16:12:38 GMT 2024","Mon Feb 26 16:12:39 GMT 2024","1394","Employee","Get Employee Details By ID","","","","Get Employee Details By ID",""
"failed","Mon Feb 26 16:12:54 GMT 2024","Mon Feb 26 16:12:55 GMT 2024","1009","Setting","","","","","Upload documents for business with empty kyb_document",""
"failed","Mon Feb 26 16:12:58 GMT 2024","Mon Feb 26 16:12:59 GMT 2024","1019","Setting","","","","","Update settlement  bank details with empty account_number",""
"failed","Mon Feb 26 16:13:26 GMT 2024","Mon Feb 26 16:13:27 GMT 2024","1002","Team member","Invite Team Member","","","","Invite Team Member with empty role_id",""
"failed","Mon Feb 26 16:13:03 GMT 2024","Mon Feb 26 16:13:05 GMT 2024","1184","Account","","","","","Get Account Name with empty Account Number",""
"passed","Mon Feb 26 16:13:44 GMT 2024","Mon Feb 26 16:13:45 GMT 2024","1194","AUTH","Sign Up","","","","Register with weak password",""
"failed","Mon Feb 26 16:13:25 GMT 2024","Mon Feb 26 16:13:26 GMT 2024","1002","Team member","Invite Team Member","","","","Invite Team Member with empty email",""
"passed","Mon Feb 26 16:13:42 GMT 2024","Mon Feb 26 16:13:43 GMT 2024","1187","AUTH","Sign Up","","","","Register with invalid phone number",""
"failed","Mon Feb 26 16:13:19 GMT 2024","Mon Feb 26 16:13:20 GMT 2024","1357","Role","Get Role By BusinessID","","","","Get Role By BusinessID with empty business_id",""
"failed","Mon Feb 26 16:12:59 GMT 2024","Mon Feb 26 16:13:00 GMT 2024","1066","Setting","","","","","Update settlement  bank details with empty account_name",""
"failed","Mon Feb 26 16:13:20 GMT 2024","Mon Feb 26 16:13:22 GMT 2024","1363","Role","Get Role By ID","","","","Get Role By ID with invalid ID",""
"passed","Mon Feb 26 16:13:22 GMT 2024","Mon Feb 26 16:13:22 GMT 2024","161","Role","Get Role By ID","","","","Get Single Role",""
"passed","Mon Feb 26 16:13:38 GMT 2024","Mon Feb 26 16:13:39 GMT 2024","1201","AUTH","Sign Up","","","","Register with empty first name",""
"failed","Mon Feb 26 16:12:35 GMT 2024","Mon Feb 26 16:12:37 GMT 2024","1223","Employee","Get Employee list by Business ID","","","","Get Employees List By BuisnessID",""
"failed","Mon Feb 26 16:13:18 GMT 2024","Mon Feb 26 16:13:19 GMT 2024","1411","Role","Get Role By BusinessID","","","","Get Role By BusinessID with invalid id",""
"passed","Mon Feb 26 16:13:33 GMT 2024","Mon Feb 26 16:13:35 GMT 2024","1964","AUTH","Login","","","","login with invalid password",""
"failed","Mon Feb 26 16:12:52 GMT 2024","Mon Feb 26 16:12:53 GMT 2024","1014","Setting","","","","","Update Settings Business Details with empty address",""
"failed","Mon Feb 26 16:12:55 GMT 2024","Mon Feb 26 16:12:56 GMT 2024","1016","Setting","","","","","Upload documents for business with empty business_id",""
"failed","Mon Feb 26 16:12:49 GMT 2024","Mon Feb 26 16:12:50 GMT 2024","1001","Setting","","","","","Update Settings Business Details",""
"passed","Mon Feb 26 16:13:36 GMT 2024","Mon Feb 26 16:13:37 GMT 2024","167","AUTH","Login","","","","login with empty email",""
"failed","Mon Feb 26 16:12:34 GMT 2024","Mon Feb 26 16:12:35 GMT 2024","1215","Employee","Add Employee","","","","Add Employee with empty field",""
"passed","Mon Feb 26 16:13:40 GMT 2024","Mon Feb 26 16:13:42 GMT 2024","1209","AUTH","Sign Up","","","","Register with invalid email",""
"failed","Mon Feb 26 16:12:37 GMT 2024","Mon Feb 26 16:12:38 GMT 2024","1190","Employee","Get Employee list by Business ID","","","","Get Employees List By invalid BuisnessID",""
"failed","Mon Feb 26 16:13:13 GMT 2024","Mon Feb 26 16:13:14 GMT 2024","1010","Role","Create Role","","","","Create Role with empty description string",""
"passed","Mon Feb 26 16:12:42 GMT 2024","Mon Feb 26 16:12:43 GMT 2024","1188","Employee","Deactivate user","","","","Activate Or Deactivate Employee",""
"failed","Mon Feb 26 16:12:50 GMT 2024","Mon Feb 26 16:12:51 GMT 2024","988","Setting","","","","","Update Settings Business Details with invalid staff ID",""
"failed","Mon Feb 26 16:12:48 GMT 2024","Mon Feb 26 16:12:49 GMT 2024","1000","Audit trail","","","","","Get audit trail with invalid business ID",""
"failed","Mon Feb 26 16:12:51 GMT 2024","Mon Feb 26 16:12:52 GMT 2024","1024","Setting","","","","","Update Settings Business Details with empty staff ID",""
"passed","Mon Feb 26 16:13:45 GMT 2024","Mon Feb 26 16:13:45 GMT 2024","150","AUTH","Sign Up","","","","Register with empty strings",""
"failed","Mon Feb 26 16:12:57 GMT 2024","Mon Feb 26 16:12:58 GMT 2024","1044","Setting","","","","","Update settlement  bank details",""
"failed","Mon Feb 26 16:12:31 GMT 2024","Mon Feb 26 16:12:32 GMT 2024","1204","Employee","Add Employee","","","","Add Employee with invalid phone_number",""
"failed","Mon Feb 26 16:13:37 GMT 2024","Mon Feb 26 16:13:38 GMT 2024","1261","AUTH","Sign Up","","","","Register",""
"failed","Mon Feb 26 16:13:15 GMT 2024","Mon Feb 26 16:13:16 GMT 2024","1010","Role","Create Role","","","","Create Role with empty permission object",""
"failed","Mon Feb 26 16:12:38 GMT 2024","Mon Feb 26 16:12:38 GMT 2024","163","Employee","Get Employee list by Business ID","","","","Get Employees List with empty BuisnessID",""
"failed","Mon Feb 26 16:13:23 GMT 2024","Mon Feb 26 16:13:24 GMT 2024","1023","Team member","Invite Team Member","","","","Invite Team Member with invalid email",""
"failed","Mon Feb 26 16:12:46 GMT 2024","Mon Feb 26 16:12:47 GMT 2024","1018","Audit trail","","","","","Get audit trail by business ID",""
"failed","Mon Feb 26 16:13:22 GMT 2024","Mon Feb 26 16:13:23 GMT 2024","1087","Team member","Invite Team Member","","","","Invite Team Member",""
"failed","Mon Feb 26 16:13:06 GMT 2024","Mon Feb 26 16:13:07 GMT 2024","1185","Account","","","","","Get Account Name with empty string",""
"failed","Mon Feb 26 16:12:47 GMT 2024","Mon Feb 26 16:12:48 GMT 2024","1007","Audit trail","","","","","Get audit trail with empty business ID",""
"passed","Mon Feb 26 16:13:43 GMT 2024","Mon Feb 26 16:13:44 GMT 2024","1038","AUTH","Sign Up","","","","Register with RC number being 11 digits",""
"failed","Mon Feb 26 16:12:33 GMT 2024","Mon Feb 26 16:12:34 GMT 2024","1188","Employee","Add Employee","","","","Add Employee with invalid business_id",""
"failed","Mon Feb 26 16:13:01 GMT 2024","Mon Feb 26 16:13:02 GMT 2024","1034","Setting","","","","","Update settlement  bank details with empty business_id",""
"passed","Mon Feb 26 16:13:39 GMT 2024","Mon Feb 26 16:13:40 GMT 2024","1201","AUTH","Sign Up","","","","Register with empty last name",""
"failed","Mon Feb 26 16:13:12 GMT 2024","Mon Feb 26 16:13:13 GMT 2024","1025","Role","Create Role","","","","Create Role with empty name string",""
"failed","Mon Feb 26 16:12:27 GMT 2024","Mon Feb 26 16:12:29 GMT 2024","1840","Employee","Add Employee","","","","Add Employee",""
"failed","Mon Feb 26 16:13:05 GMT 2024","Mon Feb 26 16:13:06 GMT 2024","1175","Account","","","","","Get Account Name with empty Bank code",""
"failed","Mon Feb 26 16:12:53 GMT 2024","Mon Feb 26 16:12:54 GMT 2024","1029","Setting","","","","","Upload documents for business",""
"failed","Mon Feb 26 16:13:28 GMT 2024","Mon Feb 26 16:13:29 GMT 2024","1033","Team member","","","","","Get List of Invited Team Members",""
"passed","Mon Feb 26 16:13:37 GMT 2024","Mon Feb 26 16:13:37 GMT 2024","152","AUTH","Login","","","","login with empty email and password",""
"failed","Mon Feb 26 16:13:24 GMT 2024","Mon Feb 26 16:13:25 GMT 2024","1025","Team member","Invite Team Member","","","","Invite Team Member with invalid role_id",""
"failed","Mon Feb 26 16:12:29 GMT 2024","Mon Feb 26 16:12:31 GMT 2024","1253","Employee","Add Employee","","","","Add Employee with invalid email",""
"failed","Mon Feb 26 16:13:09 GMT 2024","Mon Feb 26 16:13:10 GMT 2024","1018","Role","Create Role","","","","Create Role with invalid business_id",""
"failed","Mon Feb 26 16:13:14 GMT 2024","Mon Feb 26 16:13:15 GMT 2024","1117","Role","Create Role","","","","Create Role with empty business_id string",""
"failed","Mon Feb 26 16:13:35 GMT 2024","Mon Feb 26 16:13:36 GMT 2024","1015","AUTH","Login","","","","login with empty password",""
"passed","Mon Feb 26 16:13:07 GMT 2024","Mon Feb 26 16:13:08 GMT 2024","1502","Account","","","","","Get List of Banks",""
"failed","Mon Feb 26 16:13:17 GMT 2024","Mon Feb 26 16:13:18 GMT 2024","1019","Role","Get Role By BusinessID","","","","Get Role By BusinessID",""
"failed","Mon Feb 26 16:13:00 GMT 2024","Mon Feb 26 16:13:01 GMT 2024","1053","Setting","","","","","Update settlement  bank details with empty bank_id",""
"failed","Mon Feb 26 16:13:33 GMT 2024","Mon Feb 26 16:13:33 GMT 2024","606","AUTH","Login","","","","login with invalid email",""
"failed","Mon Feb 26 16:13:16 GMT 2024","Mon Feb 26 16:13:17 GMT 2024","994","Role","Create Role","","","","Create Role with empty strings",""
"failed","Mon Feb 26 16:12:39 GMT 2024","Mon Feb 26 16:12:41 GMT 2024","1195","Employee","Get Employee Details By ID","","","","Get Employee Details By using invalid ID",""
"failed","Mon Feb 26 16:12:56 GMT 2024","Mon Feb 26 16:12:57 GMT 2024","1014","Setting","","","","","Upload documents for business with empty file",""
"passed","Mon Feb 26 16:13:29 GMT 2024","Mon Feb 26 16:13:33 GMT 2024","3649","AUTH","Login","","","","login",""
"failed","Mon Feb 26 16:13:10 GMT 2024","Mon Feb 26 16:13:12 GMT 2024","1024","Role","Create Role","","","","Create Role with invalid permission",""
